instruction,output
Route default TCP traffic via interface 1.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 80, ""table_id"": 0, ""flow-name"": ""default_nonvideo"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ip-match"": {""ip-protocol"": 6}}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""1""}}]}}]}}]}"
Route all packets received on port 1 to interface 2.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 2, ""table_id"": 0, ""flow-name"": ""flow1"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""in-port"": ""1""}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""2""}}]}}]}}]}"
Prioritize blocking packets from 10.0.0.1 to 10.0.0.4 to enforce firewall rules effectively.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 200, ""table_id"": 0, ""hard-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.4/32"", ""ipv4-source"": ""10.0.0.1/32""}, ""flow-name"": ""firewall_block_h1_to_h4"", ""instructions"": { ""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""drop-action"": {}}]}}]}, ""idle-timeout"": 0}]}"
Route default traffic via interface 1.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 80, ""table_id"": 0, ""hard-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}}, ""flow-name"": ""default_traffic"", ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""1""}}]}}]}, ""idle-timeout"": 0}]}"
Route HTTP (TCP port 80) traffic targeting 10.0.0.3/32 through port 2 with traffic assigned to queue 0.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 200, ""table_id"": 0, ""flow-name"": ""tcp_port80_queue0_to_h3"", ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""set-queue-action"": {""queue-id"": 0}}, {""order"": 1, ""output-action"": { ""output-node-connector"": ""2""}}]}}]}, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ip-match"": {""ip-protocol"": 6}, ""ipv4-destination"": ""10.0.0.3/32"", ""tcp-destination-port"": 80}}]}"
Route UDP traffic (port 80) targeting 10.0.0.3/32 through port 2 with traffic assigned to queue 1.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 198, ""table_id"": 0, ""flow-name"": ""udp_port80_queue1_to_h3"", ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""set-queue-action"": {""queue-id"": 1}}, {""order"": 1, ""output-action"": { ""output-node-connector"": ""2""}}]}}]}, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ip-match"": {""ip-protocol"": 17}, ""ipv4-destination"": ""10.0.0.3/32"", ""udp-destination-port"": 80}}]}"
Direct traffic with IPv4 destination 10.0.0.1/32 through interface 3.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 102, ""table_id"": 0, ""flow-name"": ""h1_ping"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.1/32""}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""3""}}]}}]}}]}"
Ensure TCP packets on port 80 addressed to 10.0.0.3 are sent through port 2.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 110, ""table_id"": 0, ""flow-name"": ""high_bandwidth_path_to_h3"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.3/32"", ""ip-match"": {""ip-protocol"": 6}, ""tcp-destination-port"": 80}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""2""}}]}}]}}]}"
Send non-specific TCP traffic through port 1.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 80, ""table_id"": 0, ""flow-name"": ""default_nonvideo"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ip-match"": {""ip-protocol"": 6}}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""1""}}]}}]}}]}"
Direct incoming traffic from port 1 out via port 2.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 2, ""table_id"": 0, ""flow-name"": ""flow1"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""in-port"": ""1""}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""2""}}]}}]}}]}"
Block all IPv4 traffic from 10.0.0.1 to 10.0.0.4.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 200, ""table_id"": 0, ""hard-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.4/32"", ""ipv4-source"": ""10.0.0.1/32""}, ""flow-name"": ""firewall_block_h1_to_h4"", ""instructions"": { ""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""drop-action"": {}}]}}]}, ""idle-timeout"": 0}]}"
Send non-specific traffic through port 1.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 80, ""table_id"": 0, ""hard-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}}, ""flow-name"": ""default_traffic"", ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""1""}}]}}]}, ""idle-timeout"": 0}]}"
Ensure TCP packets on destination port 80 addressed to 10.0.0.3 are forwarded via port 2 using queue 0.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 200, ""table_id"": 0, ""flow-name"": ""tcp_port80_queue0_to_h3"", ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""set-queue-action"": {""queue-id"": 0}}, {""order"": 1, ""output-action"": { ""output-node-connector"": ""2""}}]}}]}, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ip-match"": {""ip-protocol"": 6}, ""ipv4-destination"": ""10.0.0.3/32"", ""tcp-destination-port"": 80}}]}"
Ensure UDP packets on destination port 80 addressed to 10.0.0.3 are forwarded via port 2 using queue 1.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 198, ""table_id"": 0, ""flow-name"": ""udp_port80_queue1_to_h3"", ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""set-queue-action"": {""queue-id"": 1}}, {""order"": 1, ""output-action"": { ""output-node-connector"": ""2""}}]}}]}, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ip-match"": {""ip-protocol"": 17}, ""ipv4-destination"": ""10.0.0.3/32"", ""udp-destination-port"": 80}}]}"
Ensure packets matching Ethernet type 0x0800 (IPv4) and destination 10.0.0.1 are sent via port 3.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 102, ""table_id"": 0, ""flow-name"": ""h1_ping"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.1/32""}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""3""}}]}}]}}]}"
Direct TCP traffic (port 80) targeting 10.0.0.3 out via port 2.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 110, ""table_id"": 0, ""flow-name"": ""high_bandwidth_path_to_h3"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.3/32"", ""ip-match"": {""ip-protocol"": 6}, ""tcp-destination-port"": 80}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""2""}}]}}]}}]}"
Direct unspecified TCP traffic to connector 1.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 80, ""table_id"": 0, ""flow-name"": ""default_nonvideo"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ip-match"": {""ip-protocol"": 6}}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""1""}}]}}]}}]}"
Deny packets originating from 10.0.0.1 destined for 10.0.0.4.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 200, ""table_id"": 0, ""hard-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.4/32"", ""ipv4-source"": ""10.0.0.1/32""}, ""flow-name"": ""firewall_block_h1_to_h4"", ""instructions"": { ""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""drop-action"": {}}]}}]}, ""idle-timeout"": 0}]}"
Direct unspecified traffic to connector 1.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 80, ""table_id"": 0, ""hard-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}}, ""flow-name"": ""default_traffic"", ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""1""}}]}}]}, ""idle-timeout"": 0}]}"
"Direct TCP traffic on port 80 intended for 10.0.0.3 out through port 2, assigning it to queue 0.","{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 200, ""table_id"": 0, ""flow-name"": ""tcp_port80_queue0_to_h3"", ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""set-queue-action"": {""queue-id"": 0}}, {""order"": 1, ""output-action"": { ""output-node-connector"": ""2""}}]}}]}, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ip-match"": {""ip-protocol"": 6}, ""ipv4-destination"": ""10.0.0.3/32"", ""tcp-destination-port"": 80}}]}"
"Direct UDP traffic on port 80 intended for 10.0.0.3 out through port 2, assigning it to queue 1.","{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 198, ""table_id"": 0, ""flow-name"": ""udp_port80_queue1_to_h3"", ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""set-queue-action"": {""queue-id"": 1}}, {""order"": 1, ""output-action"": { ""output-node-connector"": ""2""}}]}}]}, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ip-match"": {""ip-protocol"": 17}, ""ipv4-destination"": ""10.0.0.3/32"", ""udp-destination-port"": 80}}]}"
Implement a static routing rule to forward IPv4 traffic addressed to 10.0.0.1 to port 3.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 102, ""table_id"": 0, ""flow-name"": ""h1_ping"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.1/32""}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""3""}}]}}]}}]}"
Drop all packets with a source IP of 10.0.0.1 and destination IP of 10.0.0.4.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 200, ""table_id"": 0, ""hard-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.4/32"", ""ipv4-source"": ""10.0.0.1/32""}, ""flow-name"": ""firewall_block_h1_to_h4"", ""instructions"": { ""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""drop-action"": {}}]}}]}, ""idle-timeout"": 0}]}"
Block communication between 10.0.0.1 and 10.0.0.4.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 200, ""table_id"": 0, ""hard-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.4/32"", ""ipv4-source"": ""10.0.0.1/32""}, ""flow-name"": ""firewall_block_h1_to_h4"", ""instructions"": { ""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""drop-action"": {}}]}}]}, ""idle-timeout"": 0}]}"
"Route TCP traffic entering switch 1 on port 1 and targeted at port 80 through interface 2, placing it in queue 0 for priority handling.","{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 300, ""table_id"": 0, ""flow-name"": ""port1_to_port2_tcp_port80_queue0"", ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": { ""action"": [{""order"": 0, ""set-queue-action"": { ""queue-id"": 0}}, {""order"": 1, ""output-action"": { ""output-node-connector"": ""2""}}]}}]}, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ip-match"": {""ip-protocol"": 6}, ""tcp-destination-port"": 80, ""in-port"": ""1""}}]}"
"In switch 2, redirect all SSH traffic (TCP port 22) destined for 10.0.0.5 through port 4.","{'flow-node-inventory:flow': [{'id': '4', 'priority': 198, 'table_id': 0, 'flow-name': 'ssh_port22_to_h5', 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'output-action': {'output-node-connector': '4'}}]}}]}, 'match': {'ethernet-match': {'ethernet-type': {'type': 2048}}, 'ip-match': {'ip-protocol': 6}, 'ipv4-destination': '10.0.0.5/32', 'tcp-destination-port': 22}}]}"
"In switch 3, assign high-priority queue 2 to video streaming traffic (UDP port 8080) destined for 10.0.0.6 through interface 3.","{'flow-node-inventory:flow': [{'id': '8', 'priority': 500, 'table_id': 0, 'flow-name': 'video_streaming_queue2', 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'set-queue-action': {'queue-id': 2}}, {'order': 1, 'output-action': {'output-node-connector': '3'}}]}}]}, 'match': {'ethernet-match': {'ethernet-type': {'type': 2048}}, 'ip-match': {'ip-protocol': 17}, 'ipv4-destination': '10.0.0.6/32', 'udp-destination-port': 8080}}]}"
Forward all ICMP echo replies destined for 10.0.0.2 through port 5 of node 2 for network diagnostics.,"{'flow-node-inventory:flow': [{'id': '4', 'priority': 102, 'table_id': 0, 'flow-name': 'icmp_reply_forwarding', 'hard-timeout': 0, 'idle-timeout': 0, 'match': {'ethernet-match': {'ethernet-type': {'type': 2048}}, 'ip-match': {'ip-protocol': 1}, 'ipv4-destination': '10.0.0.2/32'}, 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'output-action': {'output-node-connector': '5'}}]}}]}}]}"
Drop all traffic from 10.0.0.9 on switch 2 while forwarding all other traffic normally.,"{'flow-node-inventory:flow': [{'id': '4', 'priority': 500, 'table_id': 0, 'hard-timeout': 0, 'match': {'ethernet-match': {'ethernet-type': {'type': 2048}}, 'ipv4-source': '10.0.0.9/32'}, 'flow-name': 'block_h9_traffic', 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'drop-action': {}}]}}]}, 'idle-timeout': 0}]}"
"Using openflow 2, forward IPv6 traffic (Ethernet type 0x86DD) destined for fe80::1 through port 2.","{'flow-node-inventory:flow': [{'id': '4', 'priority': 100, 'table_id': 0, 'flow-name': 'forward_ipv6_to_fe80::1', 'hard-timeout': 0, 'idle-timeout': 0, 'match': {'ethernet-match': {'ethernet-type': {'type': 34525}}, 'ipv6-destination': 'fe80::1/128'}, 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'output-action': {'output-node-connector': '2'}}]}}]}}]}"
Forward non-IP traffic (Ethernet type 0x0806) to port 8 for processing ARP requests using node 2.,"{'flow-node-inventory:flow': [{'id': '4', 'priority': 100, 'table_id': 0, 'flow-name': 'process_arp_requests', 'hard-timeout': 0, 'idle-timeout': 0, 'match': {'ethernet-match': {'ethernet-type': {'type': 2054}}}, 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'output-action': {'output-node-connector': '8'}}]}}]}}]}"
"At switch 1, route multicast traffic (224.0.0.1/32) through port 9 with queue 0 for prioritized handling.","{'flow-node-inventory:flow': [{'id': '19', 'priority': 500, 'table_id': 0, 'hard-timeout': 0, 'match': {'ethernet-match': {'ethernet-type': {'type': 2048}}, 'ipv4-destination': '224.0.0.1/32'}, 'flow-name': 'multicast_priority', 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'set-queue-action': {'queue-id': 0}}, {'order': 1, 'output-action': {'output-node-connector': '9'}}]}}]}, 'idle-timeout': 0}]}"
Block TCP traffic from 192.168.2.2 destined for 10.0.0.10 on port 443 of node 2 to prevent unauthorized HTTPS access.,"{'flow-node-inventory:flow': [{'id': '4', 'priority': 500, 'table_id': 0, 'hard-timeout': 0, 'match': {'ethernet-match': {'ethernet-type': {'type': 2048}}, 'ipv4-source': '192.168.2.2/32', 'ipv4-destination': '10.0.0.10/32', 'ip-match': {'ip-protocol': 6}, 'tcp-destination-port': 443}, 'flow-name': 'block_unauthorized_https_access', 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'drop-action': {}}]}}]}, 'idle-timeout': 0}]}"
"In switch 2, allow only UDP traffic from 10.0.0.11 to 10.0.0.12 on port 69 (TFTP) through port 6.","{'flow-node-inventory:flow': [{'id': '4', 'priority': 300, 'table_id': 0, 'flow-name': 'allow_udp_tftp_from_h11_to_h12_on_port6', 'hard-timeout': 0, 'idle-timeout': 0, 'match': {'ethernet-match': {'ethernet-type': {'type': 2048}}, 'ipv4-source': '10.0.0.11/32', 'ipv4-destination': '10.0.0.12/32', 'ip-match': {'ip-protocol': 17}, 'udp-source-port': 69, 'udp-destination-port': 69}, 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'output-action': {'output-node-connector': '6'}}]}}]}}]}"
"Using switch number 2, block all outgoing traffic from 10.0.0.13 while allowing incoming traffic to be routed through port 7.","{'flow-node-inventory:flow': [{'id': '4', 'priority': 500, 'table_id': 0, 'flow-name': 'block_outgoing_from_10.0.0.13', 'hard-timeout': 0, 'idle-timeout': 0, 'match': {'ethernet-match': {'ethernet-type': {'type': 2048}}, 'ipv4-source': '10.0.0.13/32'}, 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'drop-action': {}}]}}]}}, {'id': '4', 'priority': 499, 'table_id': 0, 'flow-name': 'allow_incoming_to_port7', 'hard-timeout': 0, 'idle-timeout': 0, 'match': {'ethernet-match': {'ethernet-type': {'type': 2048}}}, 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'output-action': {'output-node-connector': '7'}}]}}]}}]}"
Ensure all broadcast traffic (destination 255.255.255.255) is forwarded through port 10 of openflow switch 2.,"{'flow-node-inventory:flow': [{'id': '4', 'priority': 3, 'table_id': 0, 'flow-name': 'broadcast_forwarding', 'hard-timeout': 0, 'idle-timeout': 0, 'match': {'ethernet-match': {'ethernet-type': {'type': 2048}}, 'ipv4-destination': '255.255.255.255/32'}, 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'output-action': {'output-node-connector': '10'}}]}}]}}]}"
Prioritize routing SNMP traffic (UDP port 161) to port 5 using queue 0 of switch 4.,"{'flow-node-inventory:flow': [{'id': '14', 'priority': 198, 'table_id': 0, 'flow-name': 'snmp_port161_queue0_to_port5', 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'set-queue-action': {'queue-id': 0}}, {'order': 1, 'output-action': {'output-node-connector': '5'}}]}}]}, 'match': {'ethernet-match': {'ethernet-type': {'type': 2048}}, 'ip-match': {'ip-protocol': 17}, 'udp-destination-port': 161}}]}"
"Route HTTP traffic originating from 192.168.1.2 on port 1 of switch 4 and destined for 10.0.0.5/32 through port 2, ensuring packets are assigned to queue 0 for low-latency processing and apply VLAN tag 100.","{'flow-node-inventory:flow': [{'id': '14', 'priority': 400, 'table_id': 0, 'flow-name': 'http_from_192.168.1.2_to_10.0.0.5_via_port2_queue0_vlan100', 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'set-queue-action': {'queue-id': 0}}, {'order': 1, 'set-field': {'vlan-match': {'vlan-id': {'vlan-id': 100}}}}, {'order': 2, 'output-action': {'output-node-connector': '2'}}]}}]}, 'match': {'ethernet-match': {'ethernet-type': {'type': 2048}}, 'ip-match': {'ip-protocol': 6}, 'ipv4-source': '192.168.1.2/32', 'ipv4-destination': '10.0.0.5/32', 'tcp-destination-port': 80, 'in-port': '1'}}]}"
"In switch 3, create a slice for IoT devices. Route MQTT traffic (TCP port 1883) from 192.168.3.10 to 10.0.0.20/32 via port 2 and assign it to queue 1 for high-priority processing.","{'flow-node-inventory:flow': [{'id': '8', 'priority': 500, 'table_id': 0, 'flow-name': 'mqtt_traffic_to_h20_queue1', 'instructions': {'instruction': [{'order': 0, 'apply-actions': {'action': [{'order': 0, 'set-queue-action': {'queue-id': 1}}, {'order': 1, 'output-action': {'output-node-connector': '2'}}]}}]}, 'match': {'ethernet-match': {'ethernet-type': {'type': 2048}}, 'ipv4-source': '192.168.3.10/32', 'ip-match': {'ip-protocol': 6}, 'tcp-destination-port': 1883, 'ipv4-destination': '10.0.0.20/32'}}]}"
