instruction,output
"In switch 1, route default TCP traffic via interface 1.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_10"",""active"":""true"",""priority"":""50"",""eth_type"":""0x0800"",""ip_proto"":""6"",""actions"":""output=1""}"
Route all packets received on port 1 of node 2 to interface 2.,"{""switch"":""00:00:00:00:00:00:00:02"",""name"":""intent_11"",""active"":""true"",""priority"":""50"",""in_port"":""1"",""actions"":""output=2""}"
Prioritize blocking packets from 10.0.0.1 to 10.0.0.4 to enforce firewall rules effectively in node 4.,"{""switch"":""00:00:00:00:00:00:00:04"",""name"":""intent_12"",""active"":""true"",""priority"":""300"",""eth_type"":""0x0800"",""ipv4_src"":""10.0.0.1"",""ipv4_dst"":""10.0.0.4""}"
Route default traffic of node 4 via interface 1.,"{""switch"":""00:00:00:00:00:00:00:04"",""name"":""intent_13"",""active"":""true"",""priority"":""50"",""actions"":""output=1""}"
"For node 1, route HTTP (TCP port 80) traffic targeting 10.0.0.3/32 through port 2 with traffic assigned to queue 0.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_14"",""active"":""true"",""priority"":""200"",""eth_type"":""0x0800"",""ip_proto"":""6"",""tcp_dst"":""80"",""ipv4_dst"":""10.0.0.3"",""actions"":""set_queue=0,output=2""}"
"In switch 1, route UDP traffic (port 80) targeting 10.0.0.3/32 through port 2 with traffic assigned to queue 1.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_15"",""active"":""true"",""priority"":""200"",""eth_type"":""0x0800"",""ip_proto"":""17"",""udp_dst"":""80"",""ipv4_dst"":""10.0.0.3"",""actions"":""set_queue=1,output=2""}"
Direct traffic with IPv4 destination 10.0.0.1/32 in node 1 through interface 3.,"{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_16"",""active"":""true"",""priority"":""100"",""eth_type"":""0x0800"",""ipv4_dst"":""10.0.0.1"",""actions"":""output=3""}"
Ensure TCP packets on port 80 of node 1 addressed to 10.0.0.3 are sent through port 2.,"{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_17"",""active"":""true"",""priority"":""100"",""eth_type"":""0x0800"",""ip_proto"":""6"",""tcp_dst"":""80"",""ipv4_dst"":""10.0.0.3"",""actions"":""output=2""}"
Send non-specific TCP traffic arriving at node 4 through port 1.,"{""switch"":""00:00:00:00:00:00:00:04"",""name"":""intent_18"",""active"":""true"",""priority"":""50"",""eth_type"":""0x0800"",""ip_proto"":""6"",""actions"":""output=1""}"
Direct incoming traffic from port 1 of node 3 out via port 2.,"{""switch"":""00:00:00:00:00:00:00:03"",""name"":""intent_19"",""active"":""true"",""priority"":""50"",""in_port"":""1"",""actions"":""output=2""}"
Block all IPv4 traffic from 10.0.0.1 to 10.0.0.4 in openflow 4.,"{""switch"":""00:00:00:00:00:00:00:04"",""name"":""intent_20"",""active"":""true"",""priority"":""300"",""eth_type"":""0x0800"",""ipv4_src"":""10.0.0.1"",""ipv4_dst"":""10.0.0.4""}"
"In openflow switch 1, send non-specific traffic through port 1.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_21"",""active"":""true"",""priority"":""50"",""actions"":""output=1""}"
Ensure TCP packets on destination port 80 addressed to 10.0.0.3 are forwarded via port 2 using queue 0 of switch 1.,"{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_22"",""active"":""true"",""priority"":""200"",""eth_type"":""0x0800"",""ip_proto"":""6"",""tcp_dst"":""80"",""ipv4_dst"":""10.0.0.3"",""actions"":""set_queue=0,output=2""}"
"For openflow 1, ensure UDP packets on destination port 80 addressed to 10.0.0.3 are forwarded via port 2 using queue 1.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_23"",""active"":""true"",""priority"":""200"",""eth_type"":""0x0800"",""ip_proto"":""17"",""udp_dst"":""80"",""ipv4_dst"":""10.0.0.3"",""actions"":""set_queue=1,output=2""}"
Ensure packets matching Ethernet type 0x0800 and destination 10.0.0.1 in switch 1 are sent via port 3.,"{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_24"",""active"":""true"",""priority"":""100"",""eth_type"":""0x0800"",""ipv4_dst"":""10.0.0.1"",""actions"":""output=3""}"
Direct TCP traffic (port 80) targeting 10.0.0.3 out via port 2 in node 1.,"{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_25"",""active"":""true"",""priority"":""100"",""eth_type"":""0x0800"",""ip_proto"":""6"",""tcp_dst"":""80"",""ipv4_dst"":""10.0.0.3"",""actions"":""output=2""}"
"In switch 1, direct unspecified TCP traffic to connector 1.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_26"",""active"":""true"",""priority"":""50"",""eth_type"":""0x0800"",""ip_proto"":""6"",""actions"":""output=1""}"
Deny packets originating from 10.0.0.1 destined for 10.0.0.4 in node 4.,"{""switch"":""00:00:00:00:00:00:00:04"",""name"":""intent_27"",""active"":""true"",""priority"":""300"",""eth_type"":""0x0800"",""ipv4_src"":""10.0.0.1"",""ipv4_dst"":""10.0.0.4""}"
Direct unspecified traffic to connector 1 in switch 1.,"{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_28"",""active"":""true"",""priority"":""50"",""actions"":""output=1""}"
"Direct TCP traffic on port 80 intended for 10.0.0.3 out through port 2, assigning it to queue 0 in node 1.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_29"",""active"":""true"",""priority"":""200"",""eth_type"":""0x0800"",""ip_proto"":""6"",""tcp_dst"":""80"",""ipv4_dst"":""10.0.0.3"",""actions"":""set_queue=0,output=2""}"
"Using openflow 1, direct UDP traffic on port 80 intended for 10.0.0.3 out through port 2, assigning it to queue 1.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_30"",""active"":""true"",""priority"":""200"",""eth_type"":""0x0800"",""ip_proto"":""17"",""udp_dst"":""80"",""ipv4_dst"":""10.0.0.3"",""actions"":""set_queue=1,output=2""}"
Implement a static routing rule in node 1 to forward IPv4 traffic addressed to 10.0.0.1 to port 3.,"{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_31"",""active"":""true"",""priority"":""100"",""eth_type"":""0x0800"",""ipv4_dst"":""10.0.0.1"",""actions"":""output=3""}"
Drop all packets with a source IP of 10.0.0.1 and destination IP of 10.0.0.4 using node 4.,"{""switch"":""00:00:00:00:00:00:00:04"",""name"":""intent_32"",""active"":""true"",""priority"":""300"",""eth_type"":""0x0800"",""ipv4_src"":""10.0.0.1"",""ipv4_dst"":""10.0.0.4""}"
Block communication between 10.0.0.1 and 10.0.0.4 using switch 4.,"{""switch"":""00:00:00:00:00:00:00:04"",""name"":""intent_33"",""active"":""true"",""priority"":""300"",""eth_type"":""0x0800"",""ipv4_src"":""10.0.0.1"",""ipv4_dst"":""10.0.0.4""}"
"Route TCP traffic entering switch 1 on port 1 and targeted at port 80 through interface 2, placing it in queue 0 for priority handling.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_34"",""active"":""true"",""priority"":""200"",""in_port"":""1"",""eth_type"":""0x0800"",""ip_proto"":""6"",""tcp_dst"":""80"",""actions"":""set_queue=0,output=2""}"
"In switch 2, redirect all SSH traffic (TCP port 22) destined for 10.0.0.5 through port 4.","{""switch"":""00:00:00:00:00:00:00:02"",""name"":""intent_35"",""active"":""true"",""priority"":""100"",""eth_type"":""0x0800"",""ip_proto"":""6"",""tcp_dst"":""22"",""ipv4_dst"":""10.0.0.5"",""actions"":""output=4""}"
"In switch 3, assign high-priority queue 2 to video streaming traffic (UDP port 8080) destined for 10.0.0.6 through interface 3.","{""switch"":""00:00:00:00:00:00:00:03"",""name"":""intent_36"",""active"":""true"",""priority"":""200"",""eth_type"":""0x0800"",""ip_proto"":""17"",""udp_dst"":""8080"",""ipv4_dst"":""10.0.0.6"",""actions"":""set_queue=2,output=3""}"
Forward all ICMP echo replies destined for 10.0.0.2 through port 5 of node 2 for network diagnostics.,"{""switch"":""00:00:00:00:00:00:00:02"",""name"":""intent_37"",""active"":""true"",""priority"":""100"",""eth_type"":""0x0800"",""ip_proto"":""1"",""icmpv4_type"":""0"",""ipv4_dst"":""10.0.0.2"",""actions"":""output=5""}"
Drop all traffic from 10.0.0.9 on switch 2 while forwarding all other traffic normally.,"{""switch"":""00:00:00:00:00:00:00:02"",""name"":""intent_38"",""active"":""true"",""priority"":""300"",""eth_type"":""0x0800"",""ipv4_src"":""10.0.0.9""}"
"Using openflow 2, forward IPv6 traffic (Ethernet type 0x86DD) destined for fe80::1 through port 2.","{""switch"":""00:00:00:00:00:00:00:02"",""name"":""intent_39"",""active"":""true"",""priority"":""100"",""eth_type"":""0x86dd"",""ipv6_dst"":""fe80::1"",""actions"":""output=2""}"
Forward non-IP traffic (Ethernet type 0x0806) to port 8 for processing ARP requests using node 2.,"{""switch"":""00:00:00:00:00:00:00:02"",""name"":""intent_40"",""active"":""true"",""priority"":""100"",""eth_type"":""0x0806"",""actions"":""output=8""}"
"At switch 1, route multicast traffic (224.0.0.1/32) through port 9 with queue 0 for prioritized handling.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_41"",""active"":""true"",""priority"":""200"",""eth_type"":""0x0800"",""ipv4_dst"":""224.0.0.1"",""actions"":""set_queue=0,output=9""}"
Block TCP traffic from 192.168.2.2 destined for 10.0.0.10 on port 443 of node 2 to prevent unauthorized HTTPS access.,"{""switch"":""00:00:00:00:00:00:00:02"",""name"":""intent_42"",""active"":""true"",""priority"":""300"",""eth_type"":""0x0800"",""ip_proto"":""6"",""tcp_dst"":""443"",""ipv4_src"":""192.168.2.2"",""ipv4_dst"":""10.0.0.10""}"
"In switch 2, allow only UDP traffic from 10.0.0.11 to 10.0.0.12 on port 69 (TFTP) through port 6.","{""switch"":""00:00:00:00:00:00:00:02"",""name"":""intent_43"",""active"":""true"",""priority"":""300"",""eth_type"":""0x0800"",""ip_proto"":""17"",""udp_dst"":""69"",""ipv4_src"":""10.0.0.11"",""ipv4_dst"":""10.0.0.12"",""actions"":""output=6""}"
"Using switch number 2, block all outgoing traffic from 10.0.0.13 while allowing incoming traffic to be routed through port 7.","{""switch"":""00:00:00:00:00:00:00:02"",""name"":""intent_44"",""active"":""true"",""priority"":""300"",""eth_type"":""0x0800"",""ipv4_src"":""10.0.0.13""}"
Ensure all broadcast traffic (destination 255.255.255.255) is forwarded through port 10 of openflow switch 2.,"{""switch"":""00:00:00:00:00:00:00:02"",""name"":""intent_45"",""active"":""true"",""priority"":""100"",""eth_type"":""0x0800"",""ipv4_dst"":""255.255.255.255"",""actions"":""output=10""}"
Prioritize routing SNMP traffic (UDP port 161) to port 5 using queue 0 of switch 4.,"{""switch"":""00:00:00:00:00:00:00:04"",""name"":""intent_46"",""active"":""true"",""priority"":""200"",""eth_type"":""0x0800"",""ip_proto"":""17"",""udp_dst"":""161"",""actions"":""set_queue=0,output=5""}"
"Route HTTP traffic originating from 192.168.1.2 on port 1 of switch 4 and destined for 10.0.0.5/32 through port 2, ensuring packets are assigned to queue 0 for low-latency processing and apply VLAN tag 100.","{""switch"":""00:00:00:00:00:00:00:04"",""name"":""intent_47"",""active"":""true"",""priority"":""200"",""in_port"":""1"",""eth_type"":""0x0800"",""ip_proto"":""6"",""tcp_dst"":""80"",""ipv4_src"":""192.168.1.2"",""ipv4_dst"":""10.0.0.5"",""actions"":""push_vlan=0x8100,set_vlan_vid=100,set_queue=0,output=2""}"
"In switch 3, create a slice for IoT devices. Route MQTT traffic (TCP port 1883) from 192.168.3.10 to 10.0.0.20/32 via port 2 and assign it to queue 1 for high-priority processing.","{""switch"":""00:00:00:00:00:00:00:03"",""name"":""intent_48"",""active"":""true"",""priority"":""200"",""eth_type"":""0x0800"",""ip_proto"":""6"",""tcp_dst"":""1883"",""ipv4_src"":""192.168.3.10"",""ipv4_dst"":""10.0.0.20"",""actions"":""set_queue=1,output=2""}"
"Using openflow 1, SIP signaling traffic (UDP 5060) coming from 192.168.1.50 (a VoIP server) to 10.0.0.100 (a VoIP client) should be assigned queue 3 for prioritization and forwarded via port 4.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_49"",""active"":""true"",""priority"":""200"",""eth_type"":""0x0800"",""ip_proto"":""17"",""udp_dst"":""5060"",""ipv4_src"":""192.168.1.50"",""ipv4_dst"":""10.0.0.100"",""actions"":""set_queue=3,output=4""}"
