instruction,output
"In switch 1, route default TCP traffic via interface 1.","{""flows"":[{""priority"":80,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""1""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":6}]}}]}"
Route all packets received on port 1 of node 2 to interface 2.,"{""flows"":[{""priority"":2,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000002"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""IN_PORT"",""port"":1}]}}]}"
Prioritize blocking packets from 10.0.0.1 to 10.0.0.4 to enforce firewall rules effectively in node 4.,"{""flows"":[{""priority"":200,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000004"",""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_SRC"",""ip"":""10.0.0.1/32""},{""type"":""IPV4_DST"",""ip"":""10.0.0.4/32""}]}}]}"
Route default traffic of node 4 via interface 1.,"{""flows"":[{""priority"":80,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000004"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""1""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""}]}}]}"
"For node 1, route HTTP (TCP port 80) traffic targeting 10.0.0.3/32 through port 2 with traffic assigned to queue 0.","{""flows"":[{""priority"":200,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""QUEUE"",""queueId"":0},{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":6},{""type"":""IPV4_DST"",""ip"":""10.0.0.3/32""},{""type"":""TCP_DST"",""tcpPort"":80}]}}]}"
"In switch 1, route UDP traffic (port 80) targeting 10.0.0.3/32 through port 2 with traffic assigned to queue 1.","{""flows"":[{""priority"":198,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""QUEUE"",""queueId"":1},{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":17},{""type"":""IPV4_DST"",""ip"":""10.0.0.3/32""},{""type"":""UDP_DST"",""udpPort"":80}]}}]}"
Direct traffic with IPv4 destination 10.0.0.1/32 in node 1 through interface 3.,"{""flows"":[{""priority"":102,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""3""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x0800""}, {""type"":""IPV4_DST"",""ip"":""10.0.0.1/32""}]}}]}"
Ensure TCP packets on port 80 of node 1 addressed to 10.0.0.3 are sent through port 2.,"{""flows"":[{""priority"":110,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_DST"",""ip"":""10.0.0.3/32""},{""type"":""IP_PROTO"",""protocol"":6},{""type"":""TCP_DST"",""tcpPort"":80}]}}]}"
Send non-specific TCP traffic arriving at node 4 through port 1.,"{""flows"":[{""priority"":80,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000004"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""1""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""}]}}]}"
Direct incoming traffic from port 1 of node 3 out via port 2.,"{""flows"":[{""priority"":2,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000003"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""IN_PORT"",""port"":1}]}}]}"
Block all IPv4 traffic from 10.0.0.1 to 10.0.0.4 in openflow 4.,"{""flows"":[{""priority"":200,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000004"",""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_SRC"",""ip"":""10.0.0.1/32""},{""type"":""IPV4_DST"",""ip"":""10.0.0.4/32""}]}}]}"
"In openflow switch 1, send non-specific traffic through port 1.","{""flows"":[{""priority"":80,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""1""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""}]}}]}"
Ensure TCP packets on destination port 80 addressed to 10.0.0.3 are forwarded via port 2 using queue 0 of switch 1.,"{""flows"":[{""priority"":110,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_DST"",""ip"":""10.0.0.3/32""},{""type"":""IP_PROTO"",""protocol"":6},{""type"":""TCP_DST"",""tcpPort"":80}]}}]}"
"For openflow 1, ensure UDP packets on destination port 80 addressed to 10.0.0.3 are forwarded via port 2 using queue 1.","{""flows"":[{""priority"":198,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""QUEUE"",""queueId"":1},{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":17},{""type"":""IPV4_DST"",""ip"":""10.0.0.3/32""},{""type"":""UDP_DST"",""udpPort"":80}]}}]}"
Ensure packets matching Ethernet type 0x0800 and destination 10.0.0.1 in switch 1 are sent via port 3.,"{""flows"":[{""priority"":102,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""3""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x0800""}, {""type"":""IPV4_DST"",""ip"":""10.0.0.1/32""}]}}]}"
Direct TCP traffic (port 80) targeting 10.0.0.3 out via port 2 in node 1.,"{""flows"":[{""priority"":110,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_DST"",""ip"":""10.0.0.3/32""},{""type"":""IP_PROTO"",""protocol"":6},{""type"":""TCP_DST"",""tcpPort"":80}]}}]}"
"In switch 1, direct unspecified TCP traffic to connector 1.","{""flows"":[{""priority"":80,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""1""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":6}]}}]}"
Deny packets originating from 10.0.0.1 destined for 10.0.0.4 in node 4.,"{""flows"":[{""priority"":200,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000004"",""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_SRC"",""ip"":""10.0.0.1/32""},{""type"":""IPV4_DST"",""ip"":""10.0.0.4/32""}]}}]}"
Direct unspecified traffic to connector 1 in switch 1.,"{""flows"":[{""priority"":80,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""1""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""}]}}]}"
"Direct TCP traffic on port 80 intended for 10.0.0.3 out through port 2, assigning it to queue 0 in node 1.","{""flows"":[{""priority"":110,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_DST"",""ip"":""10.0.0.3/32""},{""type"":""IP_PROTO"",""protocol"":6},{""type"":""TCP_DST"",""tcpPort"":80}]}}]}"
"Using openflow 1, direct UDP traffic on port 80 intended for 10.0.0.3 out through port 2, assigning it to queue 1.","{""flows"":[{""priority"":198,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""QUEUE"",""queueId"":1},{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":17},{""type"":""IPV4_DST"",""ip"":""10.0.0.3/32""},{""type"":""UDP_DST"",""udpPort"":80}]}}]}"
Implement a static routing rule in node 1 to forward IPv4 traffic addressed to 10.0.0.1 to port 3.,"{""flows"":[{""priority"":102,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""3""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_DST"",""ip"":""10.0.0.1/32""}]}}]}"
Drop all packets with a source IP of 10.0.0.1 and destination IP of 10.0.0.4 using node 4.,"{""flows"":[{""priority"":200,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000004"",""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_SRC"",""ip"":""10.0.0.1/32""},{""type"":""IPV4_DST"",""ip"":""10.0.0.4/32""}]}}]}"
Block communication between 10.0.0.1 and 10.0.0.4 using switch 4.,"{""flows"":[{""priority"":200,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000004"",""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_SRC"",""ip"":""10.0.0.1/32""},{""type"":""IPV4_DST"",""ip"":""10.0.0.4/32""}]}}]}"
"Route TCP traffic entering switch 1 on port 1 and targeted at port 80 through interface 2, placing it in queue 0 for priority handling.","{""flows"":[{""priority"":300,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""QUEUE"",""queueId"":0},{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":6},{""type"":""TCP_DST"",""tcpPort"":80},{""type"":""IN_PORT"",""port"":1}]}}]}"
"In switch 2, redirect all SSH traffic (TCP port 22) destined for 10.0.0.5 through port 4.","{""flows"":[{""priority"":198,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000002"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""4""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":6},{""type"":""IPV4_DST"",""ip"":""10.0.0.5/32""},{""type"":""TCP_DST"",""tcpPort"":22}]}}]}"
"In switch 3, assign high-priority queue 2 to video streaming traffic (UDP port 8080) destined for 10.0.0.6 through interface 3.","{""flows"":[{""priority"":500,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000003"",""treatment"":{""instructions"":[{""type"":""QUEUE"",""queueId"":2},{""type"":""OUTPUT"",""port"":""3""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":17},{""type"":""IPV4_DST"",""ip"":""10.0.0.6/32""},{""type"":""UDP_DST"",""udpPort"":8080}]}}]}"
Forward all ICMP echo replies destined for 10.0.0.2 through port 5 of node 2 for network diagnostics.,"{""flows"":[{""priority"":102,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000002"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""5""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":1},{""type"":""IPV4_DST"",""ip"":""10.0.0.2/32""}]}}]}"
Drop all traffic from 10.0.0.9 on switch 2 while forwarding all other traffic normally.,"{""flows"":[{""priority"":500,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000002"",""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_SRC"",""ip"":""10.0.0.9/32""}]}}]}"
"Using openflow 2, forward IPv6 traffic (Ethernet type 0x86DD) destined for fe80::1 through port 2.","{""flows"":[{""priority"":100,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000002"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x86DD""},{""type"":""IPV6_DST"",""ip"":""fe80::1/128""}]}}]}"
Forward non-IP traffic (Ethernet type 0x0806) to port 8 for processing ARP requests using node 2.,"{""flows"":[{""priority"":100,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000002"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""8""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x806""}]}}]}"
"At switch 1, route multicast traffic (224.0.0.1/32) through port 9 with queue 0 for prioritized handling.","{""flows"":[{""priority"":500,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""QUEUE"",""queueId"":0},{""type"":""OUTPUT"",""port"":""9""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_DST"",""ip"":""224.0.0.1/32""}]}}]}"
Block TCP traffic from 192.168.2.2 destined for 10.0.0.10 on port 443 of node 2 to prevent unauthorized HTTPS access.,"{""flows"":[{""priority"":500,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000002"",""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":6},{""type"":""IPV4_SRC"",""ip"":""192.168.2.2/32""},{""type"":""IPV4_DST"",""ip"":""10.0.0.10/32""},{""type"":""TCP_DST"",""tcpPort"":443}]}}]}"
"In switch 2, allow only UDP traffic from 10.0.0.11 to 10.0.0.12 on port 69 (TFTP) through port 6.","{""flows"":[{""priority"":300,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000002"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""6""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":17},{""type"":""IPV4_SRC"",""ip"":""10.0.0.11/32""},{""type"":""IPV4_DST"",""ip"":""10.0.0.12/32""},{""type"":""UDP_SRC"",""udpPort"":69},{""type"":""UDP_DST"",""udpPort"":69}]}}]}"
"Using switch number 2, block all outgoing traffic from 10.0.0.13 while allowing incoming traffic to be routed through port 7.","{""flows"":[{""priority"":500,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000002"",""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_SRC"",""ip"":""10.0.0.13/32""}]}},{""priority"":499,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000002"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""7""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_DST"",""ip"":""10.0.0.13/32""}]}}]}"
Ensure all broadcast traffic (destination 255.255.255.255) is forwarded through port 10 of openflow switch 2.,"{""flows"":[{""priority"":3,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000002"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""10""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_DST"",""ip"":""255.255.255.255/32""}]}}]}"
Prioritize routing SNMP traffic (UDP port 161) to port 5 using queue 0 of switch 4.,"{""flows"":[{""priority"":198,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000004"",""treatment"":{""instructions"":[{""type"":""QUEUE"",""queueId"":0},{""type"":""OUTPUT"",""port"":""5""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":17},{""type"":""UDP_DST"",""udpPort"":161}]}}]}"
"Route HTTP traffic originating from 192.168.1.2 on port 1 of switch 4 and destined for 10.0.0.5/32 through port 2, ensuring packets are assigned to queue 0 for low-latency processing and apply VLAN tag 100.","{""flows"":[{""priority"":400,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000004"",""treatment"":{""instructions"":[{""type"":""QUEUE"",""queueId"":0},{""type"":""L2MODIFICATION"",""subtype"":""VLAN_ID"",""vlanId"":100},{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":6},{""type"":""IPV4_SRC"",""ip"":""192.168.1.2/32""},{""type"":""IPV4_DST"",""ip"":""10.0.0.5/32""},{""type"":""TCP_DST"",""tcpPort"":80},{""type"":""IN_PORT"",""port"":1}]}}]}"
"In switch 3, create a slice for IoT devices. Route MQTT traffic (TCP port 1883) from 192.168.3.10 to 10.0.0.20/32 via port 2 and assign it to queue 1 for high-priority processing.","{""flows"":[{""priority"":500,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000003"",""treatment"":{""instructions"":[{""type"":""QUEUE"",""queueId"":1},{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":6},{""type"":""IPV4_SRC"",""ip"":""192.168.3.10/32""},{""type"":""IPV4_DST"",""ip"":""10.0.0.20/32""},{""type"":""TCP_DST"",""tcpPort"":1883}]}}]}"
"Using openflow 1, SIP signaling traffic (UDP 5060) coming from 192.168.1.50 (a VoIP server) to 10.0.0.100 (a VoIP client) should be assigned queue 3 for prioritization and forwarded via port 4.","{""flows"":[{""priority"":250,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""QUEUE"",""queueId"":3},{""type"":""OUTPUT"",""port"":""4""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":17},{""type"":""IPV4_SRC"",""ip"":""192.168.1.50/32""},{""type"":""IPV4_DST"",""ip"":""10.0.0.100/32""},{""type"":""UDP_DST"",""udpPort"":5060}]}}]}"
