instruction,output
Route all packets received on port 1 of node 2 to interface 2.,"{""dpid"":2,""table_id"":0,""priority"":50,""match"":{""in_port"":1},""actions"":[{""type"":""OUTPUT"",""port"":2}]}"
Prioritize blocking packets from 10.0.0.1 to 10.0.0.4 to enforce firewall rules effectively in node 4.,"{""dpid"":4,""table_id"":0,""priority"":300,""match"":{""eth_type"":2048,""ipv4_src"":""10.0.0.1"",""ipv4_dst"":""10.0.0.4""},""actions"":[]}"
Route default traffic of node 4 via interface 1.,"{""dpid"":4,""table_id"":0,""priority"":50,""match"":{},""actions"":[{""type"":""OUTPUT"",""port"":1}]}"
"For node 1, route HTTP (TCP port 80) traffic targeting 10.0.0.3/32 through port 2 with traffic assigned to queue 0.","{""dpid"":1,""table_id"":0,""priority"":200,""match"":{""eth_type"":2048,""ip_proto"":6,""tcp_dst"":80,""ipv4_dst"":""10.0.0.3""},""actions"":[{""type"":""SET_QUEUE"",""queue_id"":0},{""type"":""OUTPUT"",""port"":2}]}"
"In switch 1, route UDP traffic (port 80) targeting 10.0.0.3/32 through port 2 with traffic assigned to queue 1.","{""dpid"":1,""table_id"":0,""priority"":200,""match"":{""eth_type"":2048,""ip_proto"":17,""udp_dst"":80,""ipv4_dst"":""10.0.0.3""},""actions"":[{""type"":""SET_QUEUE"",""queue_id"":1},{""type"":""OUTPUT"",""port"":2}]}"
Direct traffic with IPv4 destination 10.0.0.1/32 in node 1 through interface 3.,"{""dpid"":1,""table_id"":0,""priority"":100,""match"":{""eth_type"":2048,""ipv4_dst"":""10.0.0.1""},""actions"":[{""type"":""OUTPUT"",""port"":3}]}"
Ensure TCP packets on port 80 of node 1 addressed to 10.0.0.3 are sent through port 2.,"{""dpid"":1,""table_id"":0,""priority"":100,""match"":{""eth_type"":2048,""ip_proto"":6,""tcp_dst"":80,""ipv4_dst"":""10.0.0.3""},""actions"":[{""type"":""OUTPUT"",""port"":2}]}"
Send non-specific TCP traffic arriving at node 4 through port 1.,"{""dpid"":4,""table_id"":0,""priority"":50,""match"":{""eth_type"":2048,""ip_proto"":6},""actions"":[{""type"":""OUTPUT"",""port"":1}]}"
Direct incoming traffic from port 1 of node 3 out via port 2.,"{""dpid"":3,""table_id"":0,""priority"":50,""match"":{""in_port"":1},""actions"":[{""type"":""OUTPUT"",""port"":2}]}"
Block all IPv4 traffic from 10.0.0.1 to 10.0.0.4 in openflow 4.,"{""dpid"":4,""table_id"":0,""priority"":300,""match"":{""eth_type"":2048,""ipv4_src"":""10.0.0.1"",""ipv4_dst"":""10.0.0.4""},""actions"":[]}"
"In openflow switch 1, send non-specific traffic through port 1.","{""dpid"":1,""table_id"":0,""priority"":50,""match"":{},""actions"":[{""type"":""OUTPUT"",""port"":1}]}"
Ensure TCP packets on destination port 80 addressed to 10.0.0.3 are forwarded via port 2 using queue 0 of switch 1.,"{""dpid"":1,""table_id"":0,""priority"":200,""match"":{""eth_type"":2048,""ip_proto"":6,""tcp_dst"":80,""ipv4_dst"":""10.0.0.3""},""actions"":[{""type"":""SET_QUEUE"",""queue_id"":0},{""type"":""OUTPUT"",""port"":2}]}"
"For openflow 1, ensure UDP packets on destination port 80 addressed to 10.0.0.3 are forwarded via port 2 using queue 1.","{""dpid"":1,""table_id"":0,""priority"":200,""match"":{""eth_type"":2048,""ip_proto"":17,""udp_dst"":80,""ipv4_dst"":""10.0.0.3""},""actions"":[{""type"":""SET_QUEUE"",""queue_id"":1},{""type"":""OUTPUT"",""port"":2}]}"
Ensure packets matching Ethernet type 0x0800 and destination 10.0.0.1 in switch 1 are sent via port 3.,"{""dpid"":1,""table_id"":0,""priority"":100,""match"":{""eth_type"":2048,""ipv4_dst"":""10.0.0.1""},""actions"":[{""type"":""OUTPUT"",""port"":3}]}"
Direct TCP traffic (port 80) targeting 10.0.0.3 out via port 2 in node 1.,"{""dpid"":1,""table_id"":0,""priority"":100,""match"":{""eth_type"":2048,""ip_proto"":6,""tcp_dst"":80,""ipv4_dst"":""10.0.0.3""},""actions"":[{""type"":""OUTPUT"",""port"":2}]}"
"In switch 1, direct unspecified TCP traffic to connector 1.","{""dpid"":1,""table_id"":0,""priority"":50,""match"":{""eth_type"":2048,""ip_proto"":6},""actions"":[{""type"":""OUTPUT"",""port"":1}]}"
Deny packets originating from 10.0.0.1 destined for 10.0.0.4 in node 4.,"{""dpid"":4,""table_id"":0,""priority"":300,""match"":{""eth_type"":2048,""ipv4_src"":""10.0.0.1"",""ipv4_dst"":""10.0.0.4""},""actions"":[]}"
Direct unspecified traffic to connector 1 in switch 1.,"{""dpid"":1,""table_id"":0,""priority"":50,""match"":{},""actions"":[{""type"":""OUTPUT"",""port"":1}]}"
"Direct TCP traffic on port 80 intended for 10.0.0.3 out through port 2, assigning it to queue 0 in node 1.","{""dpid"":1,""table_id"":0,""priority"":200,""match"":{""eth_type"":2048,""ip_proto"":6,""tcp_dst"":80,""ipv4_dst"":""10.0.0.3""},""actions"":[{""type"":""SET_QUEUE"",""queue_id"":0},{""type"":""OUTPUT"",""port"":2}]}"
"Using openflow 1, direct UDP traffic on port 80 intended for 10.0.0.3 out through port 2, assigning it to queue 1.","{""dpid"":1,""table_id"":0,""priority"":200,""match"":{""eth_type"":2048,""ip_proto"":17,""udp_dst"":80,""ipv4_dst"":""10.0.0.3""},""actions"":[{""type"":""SET_QUEUE"",""queue_id"":1},{""type"":""OUTPUT"",""port"":2}]}"
Implement a static routing rule in node 1 to forward IPv4 traffic addressed to 10.0.0.1 to port 3.,"{""dpid"":1,""table_id"":0,""priority"":100,""match"":{""eth_type"":2048,""ipv4_dst"":""10.0.0.1""},""actions"":[{""type"":""OUTPUT"",""port"":3}]}"
Drop all packets with a source IP of 10.0.0.1 and destination IP of 10.0.0.4 using node 4.,"{""dpid"":4,""table_id"":0,""priority"":300,""match"":{""eth_type"":2048,""ipv4_src"":""10.0.0.1"",""ipv4_dst"":""10.0.0.4""},""actions"":[]}"
Block communication between 10.0.0.1 and 10.0.0.4 using switch 4.,"{""dpid"":4,""table_id"":0,""priority"":300,""match"":{""eth_type"":2048,""ipv4_src"":""10.0.0.1"",""ipv4_dst"":""10.0.0.4""},""actions"":[]}"
"Route TCP traffic entering switch 1 on port 1 and targeted at port 80 through interface 2, placing it in queue 0 for priority handling.","{""dpid"":1,""table_id"":0,""priority"":200,""match"":{""in_port"":1,""eth_type"":2048,""ip_proto"":6,""tcp_dst"":80},""actions"":[{""type"":""SET_QUEUE"",""queue_id"":0},{""type"":""OUTPUT"",""port"":2}]}"
"In switch 2, redirect all SSH traffic (TCP port 22) destined for 10.0.0.5 through port 4.","{""dpid"":2,""table_id"":0,""priority"":100,""match"":{""eth_type"":2048,""ip_proto"":6,""tcp_dst"":22,""ipv4_dst"":""10.0.0.5""},""actions"":[{""type"":""OUTPUT"",""port"":4}]}"
"In switch 3, assign high-priority queue 2 to video streaming traffic (UDP port 8080) destined for 10.0.0.6 through interface 3.","{""dpid"":3,""table_id"":0,""priority"":200,""match"":{""eth_type"":2048,""ip_proto"":17,""udp_dst"":8080,""ipv4_dst"":""10.0.0.6""},""actions"":[{""type"":""SET_QUEUE"",""queue_id"":2},{""type"":""OUTPUT"",""port"":3}]}"
Forward all ICMP echo replies destined for 10.0.0.2 through port 5 of node 2 for network diagnostics.,"{""dpid"":2,""table_id"":0,""priority"":100,""match"":{""eth_type"":2048,""ip_proto"":1,""icmpv4_type"":0,""ipv4_dst"":""10.0.0.2""},""actions"":[{""type"":""OUTPUT"",""port"":5}]}"
Drop all traffic from 10.0.0.9 on switch 2 while forwarding all other traffic normally.,"{""dpid"":2,""table_id"":0,""priority"":300,""match"":{""eth_type"":2048,""ipv4_src"":""10.0.0.9""},""actions"":[]}"
"Using openflow 2, forward IPv6 traffic (Ethernet type 0x86DD) destined for fe80::1 through port 2.","{""dpid"":2,""table_id"":0,""priority"":100,""match"":{""eth_type"":34525,""ipv6_dst"":""fe80::1""},""actions"":[{""type"":""OUTPUT"",""port"":2}]}"
Forward non-IP traffic (Ethernet type 0x0806) to port 8 for processing ARP requests using node 2.,"{""dpid"":2,""table_id"":0,""priority"":100,""match"":{""eth_type"":2054},""actions"":[{""type"":""OUTPUT"",""port"":8}]}"
"At switch 1, route multicast traffic (224.0.0.1/32) through port 9 with queue 0 for prioritized handling.","{""dpid"":1,""table_id"":0,""priority"":200,""match"":{""eth_type"":2048,""ipv4_dst"":""224.0.0.1""},""actions"":[{""type"":""SET_QUEUE"",""queue_id"":0},{""type"":""OUTPUT"",""port"":9}]}"
Block TCP traffic from 192.168.2.2 destined for 10.0.0.10 on port 443 of node 2 to prevent unauthorized HTTPS access.,"{""dpid"":2,""table_id"":0,""priority"":300,""match"":{""eth_type"":2048,""ip_proto"":6,""tcp_dst"":443,""ipv4_src"":""192.168.2.2"",""ipv4_dst"":""10.0.0.10""},""actions"":[]}"
"In switch 2, allow only UDP traffic from 10.0.0.11 to 10.0.0.12 on port 69 (TFTP) through port 6.","{""dpid"":2,""table_id"":0,""priority"":300,""match"":{""eth_type"":2048,""ip_proto"":17,""udp_dst"":69,""ipv4_src"":""10.0.0.11"",""ipv4_dst"":""10.0.0.12""},""actions"":[{""type"":""OUTPUT"",""port"":6}]}"
"Using switch number 2, block all outgoing traffic from 10.0.0.13 while allowing incoming traffic to be routed through port 7.","{""dpid"":2,""table_id"":0,""priority"":300,""match"":{""eth_type"":2048,""ipv4_src"":""10.0.0.13""},""actions"":[]}"
Ensure all broadcast traffic (destination 255.255.255.255) is forwarded through port 10 of openflow switch 2.,"{""dpid"":2,""table_id"":0,""priority"":100,""match"":{""eth_type"":2048,""ipv4_dst"":""255.255.255.255""},""actions"":[{""type"":""OUTPUT"",""port"":10}]}"
Prioritize routing SNMP traffic (UDP port 161) to port 5 using queue 0 of switch 4.,"{""dpid"":4,""table_id"":0,""priority"":200,""match"":{""eth_type"":2048,""ip_proto"":17,""udp_dst"":161},""actions"":[{""type"":""SET_QUEUE"",""queue_id"":0},{""type"":""OUTPUT"",""port"":5}]}"
"Route HTTP traffic originating from 192.168.1.2 on port 1 of switch 4 and destined for 10.0.0.5/32 through port 2, ensuring packets are assigned to queue 0 for low-latency processing and apply VLAN tag 100.","{""dpid"":4,""table_id"":0,""priority"":200,""match"":{""in_port"":1,""eth_type"":2048,""ip_proto"":6,""tcp_dst"":80,""ipv4_src"":""192.168.1.2"",""ipv4_dst"":""10.0.0.5""},""actions"":[{""type"":""PUSH_VLAN"",""ethertype"":33024},{""type"":""SET_FIELD"",""field"":""vlan_vid"",""value"":4196},{""type"":""SET_QUEUE"",""queue_id"":0},{""type"":""OUTPUT"",""port"":2}]}"
"In switch 3, create a slice for IoT devices. Route MQTT traffic (TCP port 1883) from 192.168.3.10 to 10.0.0.20/32 via port 2 and assign it to queue 1 for high-priority processing.","{""dpid"":3,""table_id"":0,""priority"":200,""match"":{""eth_type"":2048,""ip_proto"":6,""tcp_dst"":1883,""ipv4_src"":""192.168.3.10"",""ipv4_dst"":""10.0.0.20""},""actions"":[{""type"":""SET_QUEUE"",""queue_id"":1},{""type"":""OUTPUT"",""port"":2}]}"
"Using openflow 1, SIP signaling traffic (UDP 5060) coming from 192.168.1.50 (a VoIP server) to 10.0.0.100 (a VoIP client) should be assigned queue 3 for prioritization and forwarded via port 4.","{""dpid"":1,""table_id"":0,""priority"":200,""match"":{""eth_type"":2048,""ip_proto"":17,""udp_dst"":5060,""ipv4_src"":""192.168.1.50"",""ipv4_dst"":""10.0.0.100""},""actions"":[{""type"":""SET_QUEUE"",""queue_id"":3},{""type"":""OUTPUT"",""port"":4}]}"
