Sl.,ONOS Flow Rule 1,ONOS Flow Rule 2,Conflicting,Type of Conflict
12," {'priority': 102, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x0800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.3/32'}]}}","{'flows': [{'priority': 199, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.3/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}]}",yes,Imbrication
13,"{'priority': 102, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x0800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}"," {'flows': [{'priority': 199, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.3/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}]}",No,
14," {'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'IPV4_DST', 'ip': '10.0.0.3/32'}, {'type': 'TCP_DST', 'tcpPort': 80}]}}"," {'flows': [{'priority': 199, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.3/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}]}",yes,Imbrication
15,"{'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}, {'type': 'TCP_DST', 'tcpPort': 80}]}}"," {'flows': [{'priority': 199, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.3/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}]}",No,
16,"{'priority': 499, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.3/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}","{'flows': [{'priority': 199, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.3/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}]}",Yes,Correlation
17,"{'priority': 499, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}","{'flows': [{'priority': 199, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.3/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}]}",No,
18,"{'priority': 2, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'IN_PORT', 'port': 1}]}}"," {'flows': [{'priority': 950, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 1}]}}]}",yes,Imbrication
19," {'priority': 2, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'IN_PORT', 'port': 2}]}}"," {'flows': [{'priority': 950, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 1}]}}]}",No,
20,"{'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 1}]}}"," {'flows': [{'priority': 950, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 1}]}}]}",Yes,Correlation
21,"{'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 2}]}}"," {'flows': [{'priority': 950, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 1}]}}]}",No,
22,"{'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'UDP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 1}]}}"," {'flows': [{'priority': 950, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 1}]}}]}",No,
23,"{'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'UDP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 2}]}}","{'flows': [{'priority': 950, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 1}]}}]}",No,
24,"{'priority': 2, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'IN_PORT', 'port': 1}]}}","{'flows': [{'priority': 120, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'UDP_DST', 'udpPort': 80}, {'type': 'IN_PORT', 'port': 3}]}}]}",No,
25,"{'priority': 2, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'IN_PORT', 'port': 2}]}}"," {'flows': [{'priority': 120, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'UDP_DST', 'udpPort': 80}, {'type': 'IN_PORT', 'port': 3}]}}]}",No,
26,"{'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 1}]}}","{'flows': [{'priority': 120, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'UDP_DST', 'udpPort': 80}, {'type': 'IN_PORT', 'port': 3}]}}]}",No,
27,"{'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 2}]}}"," {'flows': [{'priority': 120, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'UDP_DST', 'udpPort': 80}, {'type': 'IN_PORT', 'port': 3}]}}]}",No,
28," {'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'UDP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 1}]}}"," {'flows': [{'priority': 120, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'UDP_DST', 'udpPort': 80}, {'type': 'IN_PORT', 'port': 3}]}}]}",No,
29,"{'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'UDP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 2}]}}"," {'flows': [{'priority': 120, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'UDP_DST', 'udpPort': 80}, {'type': 'IN_PORT', 'port': 3}]}}]}",No,
30,"{'priority': 2, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'IN_PORT', 'port': 1}]}}"," {'flows': [{'priority': 400, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '3'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 2}]}}]}",No,
31," {'priority': 2, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'IN_PORT', 'port': 2}]}}","{'flows': [{'priority': 400, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '3'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 2}]}}]}",Yes,Imbrication
32," {'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 1}]}}","{'flows': [{'priority': 400, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '3'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 2}]}}]}",No,
33," {'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 2}]}}"," {'flows': [{'priority': 400, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '3'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 2}]}}]}",Yes,Correlation
34,"{'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'UDP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 1}]}}","{'flows': [{'priority': 400, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '3'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'TCP_DST', 'tcpPort': 80}, {'type': 'IN_PORT', 'port': 2}]}}]}",No,
